»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2020-03-31,'000573,‘¡∫Í‘∂£¡,2.72,2.76,2.7,2.73,2.73,-0.01,-0.3663,0.816,5140395,14048921.18,1764547242.88,1713443107.68
2020-03-30,'000573,‘¡∫Í‘∂£¡,2.73,2.76,2.63,2.76,2.76,-0.03,-1.087,0.805,5071150,13657201.0,1771034548.92,1719742530.87
2020-03-27,'000573,‘¡∫Í‘∂£¡,2.76,2.82,2.75,2.79,2.76,0.0,0.0,0.6948,4377008,12173240.32,1790496467.04,1738640800.44
2020-03-26,'000573,‘¡∫Í‘∂£¡,2.76,2.81,2.75,2.78,2.8,-0.04,-1.4286,0.8432,5311641,14711114.51,1790496467.04,1738640800.44
2020-03-25,'000573,‘¡∫Í‘∂£¡,2.8,2.84,2.73,2.77,2.73,0.07,2.5641,1.2856,8098327,22455743.71,1816445691.2,1763838493.2
2020-03-24,'000573,‘¡∫Í‘∂£¡,2.73,2.75,2.65,2.65,2.61,0.12,4.5977,1.3343,8405478,22665327.45,1771034548.92,1719742530.87
2020-03-23,'000573,‘¡∫Í‘∂£¡,2.61,2.7,2.61,2.7,2.74,-0.13,-4.7445,1.105,6961036,18454333.2,1693186876.44,1644149452.59
2020-03-20,'000573,‘¡∫Í‘∂£¡,2.74,2.77,2.69,2.74,2.73,0.01,0.3663,1.1288,7110847,19404593.72,1777521854.96,1726041954.06
2020-03-19,'000573,‘¡∫Í‘∂£¡,2.73,2.78,2.67,2.76,2.76,-0.03,-1.087,1.2083,7611537,20678652.97,1771034548.92,1719742530.87
2020-03-18,'000573,‘¡∫Í‘∂£¡,2.76,2.9,2.75,2.9,2.87,-0.11,-3.8328,1.5217,9585950,27214202.0,1790496467.04,1738640800.44
2020-03-17,'000573,‘¡∫Í‘∂£¡,2.87,2.92,2.77,2.88,2.9,-0.03,-1.0345,1.3496,8501915,24248830.05,1861856833.48,1807934455.53
2020-03-16,'000573,‘¡∫Í‘∂£¡,2.9,3.02,2.87,2.99,2.96,-0.06,-2.027,1.5233,9595735,28365882.14,1881318751.6,1826832725.1
2020-03-13,'000573,‘¡∫Í‘∂£¡,2.96,2.98,2.81,2.88,2.96,0.0,0.0,1.6072,10124691,29302598.83,1920242587.84,1864629264.24
2020-03-12,'000573,‘¡∫Í‘∂£¡,2.96,3.05,2.92,2.98,3.04,-0.08,-2.6316,1.4186,8936490,26593556.27,1920242587.84,1864629264.24
2020-03-11,'000573,‘¡∫Í‘∂£¡,3.04,3.1,2.96,3.01,3.0,0.04,1.3333,2.2604,14239133,43442567.57,1972141036.16,1915024649.76
2020-03-10,'000573,‘¡∫Í‘∂£¡,3.0,3.02,2.87,2.89,2.94,0.06,2.0408,1.7367,10940501,32503602.99,1946191812.0,1889826957.0
2020-03-09,'000573,‘¡∫Í‘∂£¡,2.94,3.02,2.92,3.0,3.04,-0.1,-3.2895,1.5353,9671500,28763623.0,1907267975.76,1852030417.86
2020-03-06,'000573,‘¡∫Í‘∂£¡,3.04,3.08,3.01,3.04,3.07,-0.03,-0.9772,1.7852,11245920,34169303.71,1972141036.16,1915024649.76
2020-03-05,'000573,‘¡∫Í‘∂£¡,3.07,3.09,2.99,3.04,3.07,0.0,0.0,2.977,18753658,57347964.91,1991602954.28,1933922919.33
2020-03-04,'000573,‘¡∫Í‘∂£¡,3.07,3.12,2.85,2.89,2.9,0.17,5.8621,3.6282,22855625,68959346.59,1991602954.28,1933922919.33
2020-03-03,'000573,‘¡∫Í‘∂£¡,2.9,2.93,2.87,2.9,2.89,0.01,0.346,1.1335,7140695,20698786.24,1881318751.6,1826832725.1
2020-03-02,'000573,‘¡∫Í‘∂£¡,2.89,2.9,2.77,2.77,2.77,0.12,4.3321,1.3207,8319903,23809134.37,1874831445.56,1820533301.91
2020-02-28,'000573,‘¡∫Í‘∂£¡,2.77,2.87,2.76,2.82,2.89,-0.12,-4.1522,1.6722,10533746,29564133.27,1796983773.08,1744940223.63
2020-02-27,'000573,‘¡∫Í‘∂£¡,2.89,2.92,2.86,2.88,2.87,0.02,0.6969,1.1954,7530093,21772716.27,1874831445.56,1820533301.91
2020-02-26,'000573,‘¡∫Í‘∂£¡,2.87,2.94,2.79,2.81,2.83,0.04,1.4134,2.3103,14553567,42178693.26,1861856833.48,1807934455.53
2020-02-25,'000573,‘¡∫Í‘∂£¡,2.83,2.88,2.75,2.87,2.9,-0.07,-2.4138,1.7584,11076896,31225592.8,1835907609.32,1782736762.77
2020-02-24,'000573,‘¡∫Í‘∂£¡,2.9,2.9,2.86,2.89,2.9,0.0,0.0,0.8787,5535427,15966181.49,1881318751.6,1826832725.1
2020-02-21,'000573,‘¡∫Í‘∂£¡,2.9,2.92,2.88,2.9,2.91,-0.01,-0.3436,0.9947,6266302,18167354.78,1881318751.6,1826832725.1
2020-02-20,'000573,‘¡∫Í‘∂£¡,2.91,2.92,2.85,2.85,2.87,0.04,1.3937,0.8016,5049600,14572176.1,1887806057.64,1833132148.29
2020-02-19,'000573,‘¡∫Í‘∂£¡,2.87,2.96,2.84,2.85,2.86,0.01,0.3497,1.3472,8486410,24559834.5,1861856833.48,1807934455.53
2020-02-18,'000573,‘¡∫Í‘∂£¡,2.86,2.87,2.83,2.86,2.85,0.01,0.3509,0.9944,6264369,17861086.47,1855369527.44,1801635032.34
2020-02-17,'000573,‘¡∫Í‘∂£¡,2.85,2.86,2.77,2.78,2.78,0.07,2.518,1.0948,6896736,19547674.06,1848882221.4,1795335609.15
2020-02-14,'000573,‘¡∫Í‘∂£¡,2.78,2.78,2.74,2.76,2.77,0.01,0.361,0.7627,4804600,13270708.0,1803471079.12,1751239646.82
2020-02-13,'000573,‘¡∫Í‘∂£¡,2.77,2.83,2.75,2.77,2.77,0.0,0.0,1.0949,6897001,19228783.76,1796983773.08,1744940223.63
2020-02-12,'000573,‘¡∫Í‘∂£¡,2.77,2.78,2.74,2.76,2.76,0.01,0.3623,0.6822,4297300,11870969.0,1796983773.08,1744940223.63
2020-02-11,'000573,‘¡∫Í‘∂£¡,2.76,2.8,2.75,2.77,2.77,-0.01,-0.361,0.8902,5607800,15549851.0,1790496467.04,1738640800.44
2020-02-10,'000573,‘¡∫Í‘∂£¡,2.77,2.77,2.66,2.67,2.7,0.07,2.5926,1.0326,6504588,17767683.26,1796983773.08,1744940223.63
2020-02-07,'000573,‘¡∫Í‘∂£¡,2.7,2.71,2.63,2.69,2.68,0.02,0.7463,1.0975,6913911,18489127.26,1751572630.8,1700844261.3
2020-02-06,'000573,‘¡∫Í‘∂£¡,2.68,2.72,2.64,2.72,2.67,0.01,0.3745,1.0052,6332275,16958354.36,1738598018.72,1688245414.92
2020-02-05,'000573,‘¡∫Í‘∂£¡,2.67,2.76,2.58,2.59,2.59,0.08,3.0888,1.7738,11173771,29974182.69,1732110712.68,1681945991.73
2020-02-04,'000573,‘¡∫Í‘∂£¡,2.59,2.68,2.46,2.46,2.7,-0.11,-4.0741,2.2438,14134643,36291942.18,1680212264.36,1631550606.21
2020-02-03,'000573,‘¡∫Í‘∂£¡,2.7,2.7,2.7,2.7,3.0,-0.3,-10.0,0.2934,1848400,4990680.0,1751572630.8,1700844261.3
2020-01-23,'000573,‘¡∫Í‘∂£¡,3.0,3.08,2.97,3.07,3.1,-0.1,-3.2258,1.2944,8153758,24673541.78,1946191812.0,1889826957.0
2020-01-22,'000573,‘¡∫Í‘∂£¡,3.1,3.11,3.03,3.06,3.08,0.02,0.6494,0.9102,5733936,17617442.08,2011064872.4,1952821188.9
2020-01-21,'000573,‘¡∫Í‘∂£¡,3.08,3.12,3.05,3.08,3.08,0.0,0.0,0.9526,6000898,18497014.03,1998090260.32,1940222342.52
2020-01-20,'000573,‘¡∫Í‘∂£¡,3.08,3.09,3.02,3.08,3.08,0.0,0.0,0.8518,5365768,16415300.86,1998090260.32,1940222342.52
2020-01-17,'000573,‘¡∫Í‘∂£¡,3.08,3.11,3.07,3.09,3.08,0.0,0.0,0.8028,5056969,15615522.04,1998090260.32,1940222342.52
2020-01-16,'000573,‘¡∫Í‘∂£¡,3.08,3.13,3.07,3.13,3.14,-0.06,-1.9108,1.0406,6555000,20333346.0,1998090260.32,1940222342.52
2020-01-15,'000573,‘¡∫Í‘∂£¡,3.14,3.16,3.09,3.14,3.16,-0.02,-0.6329,1.0585,6667700,20796150.0,2037014096.56,1978018881.66
2020-01-14,'000573,‘¡∫Í‘∂£¡,3.16,3.18,3.14,3.16,3.17,-0.01,-0.3155,1.2479,7860969,24822560.83,2049988708.64,1990617728.04
2020-01-13,'000573,‘¡∫Í‘∂£¡,3.17,3.19,3.1,3.17,3.17,0.0,0.0,1.7305,10901374,34169628.53,2056476014.68,1996917151.23
2020-01-10,'000573,‘¡∫Í‘∂£¡,3.17,3.18,3.14,3.15,3.14,0.03,0.9554,1.5833,9973900,31587779.0,2056476014.68,1996917151.23
2020-01-09,'000573,‘¡∫Í‘∂£¡,3.14,3.15,3.1,3.12,3.1,0.04,1.2903,0.8437,5314906,16641335.04,2037014096.56,1978018881.66
2020-01-08,'000573,‘¡∫Í‘∂£¡,3.1,3.15,3.09,3.15,3.17,-0.07,-2.2082,1.2807,8067600,25145410.0,2011064872.4,1952821188.9
2020-01-07,'000573,‘¡∫Í‘∂£¡,3.17,3.17,3.12,3.13,3.13,0.04,1.278,1.0461,6589558,20762132.54,2056476014.68,1996917151.23
2020-01-06,'000573,‘¡∫Í‘∂£¡,3.13,3.14,3.08,3.1,3.13,0.0,0.0,1.1916,7506090,23402553.0,2030526790.52,1971719458.47
2020-01-03,'000573,‘¡∫Í‘∂£¡,3.13,3.15,3.1,3.11,3.11,0.02,0.6431,0.8795,5540623,17285380.3,2030526790.52,1971719458.47
2020-01-02,'000573,‘¡∫Í‘∂£¡,3.11,3.14,3.1,3.1,3.09,0.02,0.6472,1.2248,7715721,24063259.64,2017552178.44,1959120612.09
2019-12-31,'000573,‘¡∫Í‘∂£¡,3.09,3.1,3.06,3.08,3.07,0.02,0.6515,0.9036,5692400,17527345.0,2004577566.36,1946521765.71
2019-12-30,'000573,‘¡∫Í‘∂£¡,3.07,3.09,3.02,3.03,3.03,0.04,1.3201,1.1314,7127188,21831406.51,1991602954.28,1933922919.33
2019-12-27,'000573,‘¡∫Í‘∂£¡,3.03,3.09,3.03,3.08,3.08,-0.05,-1.6234,0.844,5316971,16272371.97,1965653730.12,1908725226.57
2019-12-26,'000573,‘¡∫Í‘∂£¡,3.08,3.09,3.03,3.03,3.02,0.06,1.9868,1.084,6828651,20889119.26,1998090260.32,1940222342.52
2019-12-25,'000573,‘¡∫Í‘∂£¡,3.02,3.05,3.0,3.04,3.04,-0.02,-0.6579,0.6252,3938700,11921574.0,1959166424.08,1902425803.38
2019-12-24,'000573,‘¡∫Í‘∂£¡,3.04,3.04,2.98,2.99,3.0,0.04,1.3333,0.7499,4723846,14273865.38,1972141036.16,1915024649.76
2019-12-23,'000573,‘¡∫Í‘∂£¡,3.0,3.08,2.99,3.05,3.06,-0.06,-1.9608,0.8697,5478380,16588650.28,1946191812.0,1889826957.0
2019-12-20,'000573,‘¡∫Í‘∂£¡,3.06,3.09,3.04,3.06,3.05,0.01,0.3279,1.2937,8149800,25069291.0,1985115648.24,1927623496.14
2019-12-19,'000573,‘¡∫Í‘∂£¡,3.05,3.06,3.03,3.04,3.04,0.01,0.3289,0.7294,4594600,14005278.0,1978628342.2,1921324072.95
2019-12-18,'000573,‘¡∫Í‘∂£¡,3.04,3.06,3.02,3.03,3.04,0.0,0.0,0.7481,4712499,14317296.97,1972141036.16,1915024649.76
2019-12-17,'000573,‘¡∫Í‘∂£¡,3.04,3.06,3.0,3.01,3.01,0.03,0.9967,0.9752,6142990,18648272.5,1972141036.16,1915024649.76
2019-12-16,'000573,‘¡∫Í‘∂£¡,3.01,3.02,2.97,2.98,2.97,0.04,1.3468,0.8741,5506530,16496080.57,1952679118.04,1896126380.19
2019-12-13,'000573,‘¡∫Í‘∂£¡,2.97,2.99,2.93,2.96,2.95,0.02,0.678,0.9021,5682536,16849419.57,1926729893.88,1870928687.43
2019-12-12,'000573,‘¡∫Í‘∂£¡,2.95,2.97,2.93,2.97,2.95,0.0,0.0,0.5064,3189749,9421939.76,1913755281.8,1858329841.05
2019-12-11,'000573,‘¡∫Í‘∂£¡,2.95,2.97,2.93,2.95,2.96,-0.01,-0.3378,0.5571,3509285,10350083.39,1913755281.8,1858329841.05
2019-12-10,'000573,‘¡∫Í‘∂£¡,2.96,2.97,2.93,2.94,2.95,0.01,0.339,0.4959,3123776,9209301.44,1920242587.84,1864629264.24
2019-12-09,'000573,‘¡∫Í‘∂£¡,2.95,2.97,2.93,2.94,2.95,0.0,0.0,0.569,3584552,10592782.4,1913755281.8,1858329841.05
2019-12-06,'000573,‘¡∫Í‘∂£¡,2.95,2.95,2.92,2.95,2.95,0.0,0.0,0.3941,2482600,7286011.0,1913755281.8,1858329841.05
2019-12-05,'000573,‘¡∫Í‘∂£¡,2.95,2.95,2.92,2.94,2.93,0.02,0.6826,0.6108,3847501,11320275.94,1913755281.8,1858329841.05
2019-12-04,'000573,‘¡∫Í‘∂£¡,2.93,2.93,2.9,2.91,2.92,0.01,0.3425,0.4166,2624417,7654724.47,1900780669.72,1845730994.67
2019-12-03,'000573,‘¡∫Í‘∂£¡,2.92,2.92,2.88,2.9,2.91,0.01,0.3436,0.521,3282255,9517941.44,1894293363.68,1839431571.48
2019-12-02,'000573,‘¡∫Í‘∂£¡,2.91,2.92,2.88,2.9,2.9,0.01,0.3448,0.3968,2499622,7262964.9,1887806057.64,1833132148.29
2019-11-29,'000573,‘¡∫Í‘∂£¡,2.9,2.92,2.88,2.9,2.9,0.0,0.0,0.5558,3501347,10162280.83,1881318751.6,1826832725.1
2019-11-28,'000573,‘¡∫Í‘∂£¡,2.9,2.93,2.89,2.93,2.91,-0.01,-0.3436,0.4364,2749200,7988743.0,1881318751.6,1826832725.1
2019-11-27,'000573,‘¡∫Í‘∂£¡,2.91,2.94,2.9,2.91,2.92,-0.01,-0.3425,0.5049,3180800,9285249.0,1887806057.64,1833132148.29
2019-11-26,'000573,‘¡∫Í‘∂£¡,2.92,2.95,2.91,2.94,2.94,-0.02,-0.6803,0.6868,4326300,12673662.0,1894293363.68,1839431571.48
2019-11-25,'000573,‘¡∫Í‘∂£¡,2.94,2.95,2.88,2.9,2.9,0.04,1.3793,0.978,6161013,17989028.06,1907267975.76,1852030417.86
2019-11-22,'000573,‘¡∫Í‘∂£¡,2.9,2.96,2.89,2.92,2.93,-0.03,-1.0239,0.7749,4881501,14227533.94,1881318751.6,1826832725.1
2019-11-21,'000573,‘¡∫Í‘∂£¡,2.93,2.93,2.87,2.89,2.9,0.03,1.0345,0.6389,4024752,11677009.87,1900780669.72,1845730994.67
2019-11-20,'000573,‘¡∫Í‘∂£¡,2.9,2.95,2.89,2.95,2.95,-0.05,-1.6949,0.7719,4862607,14169169.93,1881318751.6,1826832725.1
2019-11-19,'000573,‘¡∫Í‘∂£¡,2.95,2.96,2.92,2.93,2.94,0.01,0.3401,0.8352,5261299,15465079.82,1913755281.8,1858329841.05
2019-11-18,'000573,‘¡∫Í‘∂£¡,2.94,2.95,2.91,2.95,2.93,0.01,0.3413,0.4804,3026186,8842993.25,1907267975.76,1852030417.86
2019-11-15,'000573,‘¡∫Í‘∂£¡,2.93,2.96,2.93,2.94,2.94,-0.01,-0.3401,0.336,2116672,6224564.96,1900780669.72,1845730994.67
2019-11-14,'000573,‘¡∫Í‘∂£¡,2.94,2.96,2.91,2.96,2.97,-0.03,-1.0101,0.5717,3601100,10571464.0,1907267975.76,1852030417.86
