日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020/3/31,'002770,科迪乳业,2.6,2.6,2.32,2.36,2.36,0.24,10.1695,8.2474,49942017,124913424.1,2846656272,1574428432
2020/3/30,'002770,科迪乳业,2.36,2.42,2.3,2.3,2.33,0.03,1.2876,6.6694,40386271,95182729.74,2583888001,1429096577
2020/3/27,'002770,科迪乳业,2.33,2.4,2.29,2.33,2.32,0.01,0.431,7.2011,43606449,102817029.7,2551041967,1410930095
2020/3/26,'002770,科迪乳业,2.32,2.36,2.23,2.24,2.27,0.05,2.2026,5.996,36308720,83644423.24,2540093289,1404874601
2020/3/25,'002770,科迪乳业,2.27,2.3,2.19,2.22,2.18,0.09,4.1284,4.9437,29936380,67408989.43,2485349899,1374597131
2020/3/24,'002770,科迪乳业,2.18,2.18,2.12,2.15,2.11,0.07,3.3175,2.0434,12373891,26655704.45,2386811797,1320097685
2020/3/23,'002770,科迪乳业,2.11,2.22,2.11,2.16,2.23,-0.12,-5.3812,2.537,15362701,33243922.98,2310171052,1277709228
2020/3/20,'002770,科迪乳业,2.23,2.23,2.13,2.15,2.15,0.08,3.7209,2.6213,15873091,34540212.44,2441555187,1350375155
2020/3/19,'002770,科迪乳业,2.15,2.16,2.08,2.12,2.11,0.04,1.8957,2.2608,13690011,28986506.42,2353965764,1301931204
2020/3/18,'002770,科迪乳业,2.11,2.2,2.11,2.18,2.16,-0.05,-2.3148,2.0942,12681441,27479033.49,2310171052,1277709228
2020/3/17,'002770,科迪乳业,2.16,2.23,2.09,2.2,2.2,-0.04,-1.8182,2.9427,17819595,38454158.9,2364914442,1307986698
2020/3/16,'002770,科迪乳业,2.2,2.32,2.19,2.3,2.28,-0.08,-3.5088,3.3091,20037978,45371595.9,2408709153,1332208673
2020/3/13,'002770,科迪乳业,2.28,2.32,2.19,2.23,2.35,-0.07,-2.9787,4.816,29163179,65479705.49,2496298577,1380652625
2020/3/12,'002770,科迪乳业,2.35,2.48,2.32,2.39,2.43,-0.08,-3.2922,4.7423,28716781,68590391.63,2572939323,1423041083
2020/3/11,'002770,科迪乳业,2.43,2.45,2.33,2.36,2.37,0.06,2.5316,7.0906,42937008,103144666,2660528747,1471485035
2020/3/10,'002770,科迪乳业,2.37,2.37,2.22,2.31,2.33,0.04,1.7167,5.4489,32995690,75885303.3,2594836679,1435152071
2020/3/9,'002770,科迪乳业,2.33,2.46,2.32,2.34,2.37,-0.04,-1.6878,6.8282,41348060,98751338.7,2551041967,1410930095
2020/3/6,'002770,科迪乳业,2.37,2.41,2.31,2.33,2.37,0,0,5.4166,32800238,77129663.68,2594836679,1435152071
2020/3/5,'002770,科迪乳业,2.37,2.43,2.27,2.29,2.28,0.09,3.9474,8.3332,50461367,119003524.2,2594836679,1435152071
2020/3/4,'002770,科迪乳业,2.28,2.29,2.18,2.19,2.21,0.07,3.1674,3.7919,22961850,51494658.4,2496298577,1380652625
2020/3/3,'002770,科迪乳业,2.21,2.27,2.2,2.24,2.22,-0.01,-0.4505,3.1041,18796593,41985310.1,2419657831,1338264167
2020/3/2,'002770,科迪乳业,2.22,2.24,2.1,2.1,2.18,0.04,1.8349,3.4489,20884955,45711874.96,2430606509,1344319661
2020/2/28,'002770,科迪乳业,2.18,2.29,2.17,2.27,2.35,-0.17,-7.234,4.6483,28147574,62898912.94,2386811797,1320097685
2020/2/27,'002770,科迪乳业,2.35,2.4,2.26,2.32,2.29,0.06,2.6201,5.507,33347751,77746589.08,2572939323,1423041083
2020/2/26,'002770,科迪乳业,2.29,2.36,2.16,2.21,2.24,0.05,2.2321,5.1766,31346781,72043722.33,2507247255,1386708119
2020/2/25,'002770,科迪乳业,2.24,2.25,2.16,2.25,2.29,-0.05,-2.1834,3.1932,19336530,42885082.6,2452503865,1356430649
2020/2/24,'002770,科迪乳业,2.29,2.3,2.22,2.28,2.29,0,0,2.5207,15264250,34483195.4,2507247255,1386708119
2020/2/21,'002770,科迪乳业,2.29,2.3,2.26,2.27,2.28,0.01,0.4386,2.7732,16793020,38343383.7,2507247255,1386708119
2020/2/20,'002770,科迪乳业,2.28,2.29,2.22,2.22,2.23,0.05,2.2422,3.2116,19447560,44010883.9,2496298577,1380652625
